Genomic bins	SRR2053289	SRR2053288	SRR2053283	SRR2053282	SRR2053281	SRR2053280	SRR2053287	SRR2053286	SRR2053285	SRR2053284	SRR2053308	SRR2053302	SRR2053303	SRR2053300	SRR2053301	SRR2053306	SRR2053307	SRR2053304	SRR2053305	SRR2053294	SRR2053295	SRR2053296	SRR2053297	SRR2053290	SRR2053291	SRR2053292	SRR2053293	SRR2053298	SRR2053299	SRR2053276	SRR2053277	SRR2053274	SRR2053275	SRR2053273	SRR2053278	SRR2053279
bin.126	0.0337203724219	0.00440187745889	0.00433058090578	0.00230821838883	0.000576316391338	0.0043738832019	0.0345647477765	0.00132098353824	0.00358680666291	2.74908923634	0.00273783439263	1.17853978372	3.1086542775	1.2752023351	0.621992951126	0.00103163297301	0.00599940396636	0.0109426680349	1.24639194544	0.361920568478	3.44571719681	0.0275203075336	0.0227454711896	10.6721045725	0.249915604475	0.146628222553	0.19202230447	0.00835744956566	1.03597214074	0.00343569537617	0.00192565174025	0.00128668473488	0.00255692131449	30.5356856546	0.00315095314035	0.00223129735751
bin.89	6.90411588379	6.99855926581	3.09794179301	4.0445559697	3.89859037117	7.49317511756	11.231722436	7.59406683758	6.5448634317	24.8035479738	6.73329776303	12.9193690271	24.3978153682	15.1673217591	9.14869667213	7.49229272032	73.9345878132	58.4562117177	14.6674494609	14.4816904008	5.1129172543	7.40002665517	4.91521001366	23.5780114666	14.3663556042	4.60260041366	17.1289669339	8.4886606518	28.7706164374	19.1903184253	16.2535455306	146.716391601	97.3549372116	2.04359481169	24.4142083866	7.69703496225
bin.20	2.58255564766	2.46916455612	20.9506153889	10.6056444232	3.31096457629	3.72078372312	6.06638603759	8.28129630274	27.0196293447	5.34060599402	9.45101144534	1.02475654571	1.75349805206	0.459222539528	4.03288900119	8.9927010406	0.725605660488	1.59697242976	0.535765762163	5.47728618145	1.21871764186	6.36210071736	6.06428523761	4.70062786109	2.85982666625	11.9629755859	3.01981800302	28.2423073442	3.7668328769	3.28921983025	1.56455014096	2.90433532315	3.52153833883	7.11100079377	0.797293948982	2.77193975237
bin.4	0.0363510079989	0.0147937323583	0.027090467604	0.0108360657447	0.0135286539313	0.00619567893016	0.207720516408	0.00312842044412	0.00535241216159	1.78647555984	0.00795211232625	2.84561770895	1.45032001201	0.722604953977	2.56627899619	0.00396268553668	0.0971497909511	0.035371160593	0.722599573844	1.37201138969	1.43911145363	0.552399977262	0.356405409206	3.78703053106	1.93961416212	0.189154459174	1.40394606987	0.0171787789553	2.01940512381	0.0151491975247	0.023133673911	0.00876929310253	0.00462354971968	1.74505276848	0.173018927008	0.0198987445065
bin.25	0.375134779384	0.367165301727	0.291958830221	0.221923091288	0.699778220385	2.28800344614	1.59723930095	0.255837149219	0.321260327915	8.7817162632	0.412135224385	4.65687716107	9.22534621232	7.53242054856	2.32543488041	0.254115566017	21.4629954045	39.187668995	7.51005695036	8.51303441359	2.9653744754	1.71616844677	1.71768866682	7.26675562028	6.549249686	3.11455886448	6.50722729949	0.448884182745	11.1505403685	18.6851143097	36.7732293185	36.714992411	104.867130277	6.08342497836	44.2303741477	0.299947510328
bin.158	0.0338843872307	0.0387456143134	0.336941810671	0.247694166496	0.865845406613	9.27706080183	0.132874199578	0.182572007357	0.8205462498	0.121058969707	0.0299303429411	1.1573585546	0.442488533659	0.404987742356	1.93283810178	0.17905394295	0.0544914728844	0.0992642299387	0.43437167014	0.209242128794	0.393911885771	2.12592828667	1.81261813063	0.258273539502	0.355387994884	0.0759282111539	0.26777856055	0.0756632395047	2.36647571865	0.112477835046	0.0525270665925	0.022331023876	0.0989560640393	0.0292526992143	2.38677985816	0.0286460661797
bin.198	5.31338683875	5.33837052751	0.412094000147	0.497044935	3.82681189697	4.5898886858	13.9758635015	2.47969096506	3.93039017935	0.446272941024	12.5857095831	4.91863769228	1.00508793099	0.618728573141	5.7489910383	2.54619393263	0.35345602978	0.179202968938	0.630750109329	24.124104535	0.707879550514	5.73666970709	4.5647053076	1.27039160759	4.76150850672	53.6753411548	14.8006849871	3.68621587785	16.8464764278	0.130825222511	0.0645782123178	0.025598802357	0.429692573572	2.95226155983	11.3299642825	4.4889054044
bin.6	2.73886633181	2.77073455484	0.0226121651743	0.020278512442	0.0167645593438	0.0171011073566	0.173940697636	3.64138792838	0.212129877765	0.0119092772522	8.03935490757	0.0890345786079	0.010111798562	0.0075002163279	0.330390657496	3.61933238101	0.0139171161783	0.0159683425964	0.0127631836619	0.123759930441	0.00745324291195	0.629728355788	0.566139231875	0.0143802337722	0.0636077165487	0.0813132169722	0.156421156681	1.29806423879	0.424324204203	0.0060532629133	0.00420535931062	0.00972525780388	0.00862513642351	0.0074832202058	0.0126239626763	2.84616685798
bin.59	6.72752272341	6.8208900262	2.1736731668	1.459167625	1.31159587944	1.03155234318	13.5134196307	8.90114048113	2.50309077793	0.585346972997	10.2765741692	1.48303431799	1.02875870402	0.73823809417	6.11954169835	8.85974163068	1.54415733807	0.508503762667	0.754842677841	10.490812673	0.506113683383	12.5181052803	6.84613597873	1.45753537342	10.8479073131	8.09116987081	10.7626060773	9.38157215995	11.6827097916	1.10735467668	1.12780038159	0.426754301967	0.528462149769	0.486504637948	1.75275851879	6.16145571979
bin.119	3.2649762175	3.19510069672	3.10299988337	1.42124635308	7.39864510226	6.29503380318	14.7437010726	0.974874893138	1.15296623048	27.4054009441	5.13350944009	16.1954389843	87.5853718651	36.0283275916	7.55415093685	0.999736767983	19.2270732668	12.1823373128	35.9160984843	20.7573144551	14.7600438523	9.56081336178	2.89440526466	36.463114928	20.2845477625	22.675270797	15.923035928	2.89374954917	16.3887535987	9.5781775283	1.1275765267	4.63490402144	24.2477225036	26.0117102436	16.3040540752	2.68215454559
