Genomic bins	SRR5258708	SRR5258706	SRR5260221	SRR5260370	SRR5258707	SRR5258705
bin.126	0.349950415708	4.68664054648	0.786880740719	0.264865364909	0.682711539219	1.77509818682
bin.89	3.47472629657	2.63538920758	6.86493316833	5.06540830252	6.70537007866	3.50064474049
bin.20	4.60734391726	0.996788655418	1.84389685125	0.626037537058	1.72115065956	1.07300961193
bin.4	1.14608089004	0.481823048696	0.541412869828	4.15657065076	0.888084243034	0.478888180835
bin.25	1.63689544555	2.31686746251	1.85737543281	1.70521687512	1.45527137213	1.77706863094
bin.22	2.20831711843	0.525143956527	0.457442129832	1.97918153667	1.86320056991	0.588803315962
bin.6	1.78684873046	0.0873114253698	0.0468277004209	0.493110676067	0.056816697208	0.0589880579906
bin.59	1.78854389601	0.923079369464	0.779300475392	3.48218085085	1.70243551252	0.881498159624
bin.119	1.15576408736	0.964273717203	6.27414332263	0.661437660799	2.07021488158	0.778858189395
bin.68	6.61872167325	1.42368512771	2.36020725159	1.45317723938	2.427842245	1.90225453991
bin.130	1.49489868412	0.628386921667	0.376387321805	0.917260754086	2.01751973914	1.40679232322
bin.102	0.838522377161	4.99664101866	2.0104589337	0.495929840286	1.32134708095	2.29677600356
bin.85	5.5917226919	1.92819484717	1.16021629788	14.9621781843	1.83166466051	1.35182266521
bin.101	1.69915242499	0.56161473165	1.16960373299	2.63007905873	2.41750792575	0.830096065908
bin.122	0.838069400489	4.81292537766	0.554945239238	0.674102049025	1.05373982586	1.00054646078
bin.46	0.698506643585	0.14999363488	2.06530967708	0.286277661039	1.1518643217	0.136360275946
bin.54	1.02821171985	7.14278434223	1.74756395288	0.912418892946	1.99830717551	2.61969253996
bin.95	1.57022797993	7.00073814274	7.83822037499	0.797885688579	3.37472212196	2.11475849862
bin.43	1.40915165318	5.89120587129	2.94960257625	0.910468535092	2.59731409727	1.09390276505
bin.34	2.27756835952	0.348524864843	0.283408783354	5.32880159138	1.05295153404	0.392807198474
bin.37	0.604800533214	4.73115867361	2.50186357544	0.399133585749	1.11828184091	2.00446397189
bin.32	1.77127393062	6.46252521895	3.84475581443	0.67889472294	2.13665442951	3.25465382958
bin.81	1.44136374154	6.39197322568	5.08950888582	0.865593415632	2.6826279353	2.82811478457
bin.114	1.73824134996	1.36148444827	1.51126263139	0.937848431146	3.00969158296	16.4853437471
bin.83	1.61155379049	0.479195747154	0.48842519456	2.10806739203	2.09932888914	0.980741254121
bin.62	0.929134255576	0.254353951508	0.186598624732	3.1717253704	1.64958619823	0.312987143708
bin.8	1.0370066652	0.703942808506	2.5754344471	0.236494653777	0.965663725452	0.37626744949
bin.53	1.87007946523	3.39539553643	0.965625202574	0.883915279993	1.87872354271	2.75405349592
bin.96	0.453032843492	3.61695010319	1.99056384059	0.168659873033	0.786363123735	0.453793074115
bin.138	7.59130952706	1.49475214184	1.73710830172	1.80633853832	2.82537765616	2.14497682673
bin.12	2.35787467885	3.5755478541	4.03932428852	1.25986115043	2.78639310596	2.50896649509
bin.129	0.877283753834	1.41372577988	3.80314948437	0.482234329758	1.74720877148	0.951641292674
bin.45	1.21187667578	1.50358788536	0.572105723107	2.79815304795	2.04273711187	4.69498382015
bin.26	0.28476807695	0.185101386629	0.134796461522	2.35262044337	0.266599007746	0.238083918935
bin.19	0.211920051473	2.38807999677	0.67548669539	0.0685495668042	0.272621927258	1.79752442658
bin.134	2.10873753427	1.04458126498	0.831930784908	2.76523253485	1.37320099332	1.59751290968
bin.84	2.57731936362	7.55539548874	14.0861669872	1.099907992	4.17356387881	3.72991406804
bin.74	7.15507310268	0.185352953018	0.881328485997	0.19665331575	0.419154607756	0.0214227495235
bin.108	7.76365309696	5.53738464009	5.2013259933	1.65477747046	3.03264848357	3.31217531592
bin.10	0.0819792233606	3.81831744251	0.109520612593	0.0418712632133	0.14812182171	0.724930542289
bin.82	0.363880490145	3.33092223311	0.412407135011	0.239226160868	0.712878787001	4.99880132543
bin.90	0.747803634907	3.90262056952	1.64086767378	0.406475500044	1.59326650794	2.03011113531
bin.63	18.5037963727	2.71172956351	13.0205092425	11.9646895543	9.87069088942	1.88293171105
bin.42	0.294198203247	1.25302550445	0.258240541821	0.207592230306	0.443772405067	9.66162185357
bin.80	4.30292854972	0.61236116293	0.384878694913	1.39921222754	0.628778047198	1.01498940989
bin.3	1.17644287328	2.4561650234	0.772533346154	0.91917732205	1.95672122283	10.0182404747
bin.132	0.993510322922	0.23632998857	0.1040310103	0.295705125128	1.62915812647	0.142223891669
bin.38	0.786098602076	6.10616488087	1.62357631469	0.519427124944	1.5614746875	6.54778686745
bin.33	2.01891202853	0.3761401105	0.258356804137	0.195222729729	0.282024956956	0.278087972553
bin.56	0.511129312827	9.50595656322	0.371252241712	0.321159478692	1.41601390213	1.76638800869
bin.128	1.17462816842	0.848571070442	0.879425050163	0.496633322677	3.3750151001	0.771996853623
bin.14	2.49829570348	0.209770902796	9.18394855138	0.139132244483	1.14044847148	0.268033619742
bin.13	0.0933155444273	5.30973021446	0.452651782177	0.0437699949754	0.186919465382	0.0540404711332
bin.44	0.917309220633	11.129349273	0.474626730935	0.617187092915	2.25607763916	11.9390752207
bin.97	3.19767535663	0.865525772594	0.550650634175	1.45554580815	0.65457197831	1.01754059234
bin.41	0.343390560635	1.47734952826	0.386640512011	0.254793265467	0.565163367101	5.29210277225
bin.137	1.71890910426	0.162268505664	0.219849015671	3.49323138562	0.41130628864	0.319313171054
bin.124	3.49448902778	1.62881598133	1.1603861221	1.30945329905	1.99210385381	2.31393669221
